student_id,akt_kode,fortolket_res,termin,belastning
8845,S23-10-1,bestået,E19,10
8845,28855,bestået,F20,5
8845,27102,bestået,F19,5
8845,23532,bestået,F19,5
8845,27432,bestået,E19,5
8845,27034,forsøg,F20,5
8845,27034,bestået,F20,5
8845,23102,bestået,F19,10
8845,27322,bestået,F19,10
8845,28233,bestået,E19,5
8845,23206,bestået,F19,5
8845,27455,bestået,F20,5
8844,27430,bestået,E19,5
8844,28855,bestået,F19,5
8844,27303,bestået,E19,5
8844,27101,bestået,F19,5
8844,27246,bestået,E19,5
8844,27460,bestået,E19,5
8844,33902,bestået,F19,5
8844,27322,bestået,F19,10
8844,27322,forsøg,F19,10
8844,27230,forsøg,E19,5
8844,27230,bestået,F20,5
8844,S27-15-1,bestået,F20,15
8844,27324,bestået,F19,5
8844,22117,bestået,F20,5
8844,26325,bestået,F20,5
8843,27421,bestået,E18,5
8843,28855,bestået,F20,5
8843,27220,bestået,F20,5
8843,27460,bestået,E19,5
8843,27322,bestået,F19,10
8843,S27-10-1,bestået,E20,10
8843,27230,bestået,E19,5
8843,27419,bestået,F20,5
8843,27405,bestået,E19,10
8843,28480,bestået,E19,10
8843,33281,bestået,F19,5
8843,33281,forsøg,F19,5
8843,27324,bestået,F19,5
8843,36617,bestået,F19,5
8842,27430,bestået,E19,5
8842,28855,bestået,F20,5
8842,27303,bestået,E19,5
8842,42433,bestået,F20,10
8842,42490,bestået,E19,10
8842,27322,bestået,F20,10
8842,28345,bestået,F20,5
8842,42430,bestået,E19,5
8842,27250,bestået,E19,5
8842,2443,bestået,F20,5
8842,28850,bestået,F20,5
8841,33334,bestået,F19,5
8841,27430,bestået,E18,5
8841,22115,forsøg,F20,5
8841,22115,ikke bestået,F20,5
8841,22230,forsøg,F20,5
8841,22230,ikke bestået,F20,5
8841,28855,bestået,F19,5
8841,27220,forsøg,F20,5
8841,27220,ikke bestået,F20,5
8841,36107,bestået,F19,5
8841,22200,bestået,E19,5
8841,23259,forsøg,F20,5
8841,23259,bestået,F20,5
8841,23259,forsøg,F20,5
8841,27322,bestået,F19,10
8841,33690,bestået,E18,5
8841,27419,bestået,F19,5
8841,23220,bestået,E19,5
8841,2411,bestået,E19,5
8841,23206,ikke bestået,F20,5
8841,23206,forsøg,F20,5
8841,23205,bestået,E19,5
8840,27430,ikke bestået,E19,5
8840,27432,bestået,E19,5
8840,27230,ikke bestået,E19,5
8839,27430,bestået,E19,5
8839,28855,bestået,F20,5
8839,27432,bestået,E19,5
8839,S27-05-2,bestået,F20,5
8839,27230,bestået,E19,5
8839,27419,bestået,F20,5
8839,27255,bestået,F20,5
8839,27405,bestået,E19,10
8839,2411,bestået,E19,5
8839,42429,bestået,F20,5
8839,27455,bestået,F20,5
8838,28855,bestået,F19,5
8838,27220,bestået,F19,5
8838,27034,bestået,F19,5
8838,27460,bestået,E19,5
8838,27422,bestået,F20,5
8838,27419,bestået,F19,5
8838,28233,bestået,E19,5
8838,27405,bestået,E19,10
8838,28480,bestået,E19,10
8838,42429,bestået,F20,5
8838,22117,bestået,F20,5
8837,27430,bestået,E19,5
8837,28855,bestået,F20,5
8837,27322,bestået,F20,10
8837,27230,bestået,E19,5
8837,27255,bestået,F20,5
8837,27405,bestået,E19,10
8837,28480,bestået,E19,10
8837,27455,bestået,F20,5
8836,27430,bestået,E19,5
8836,28855,bestået,F20,5
8836,27432,bestået,E19,5
8836,28345,bestået,F20,5
8836,27230,bestået,E19,5
8836,27255,bestået,F20,5
8836,27405,bestået,E19,10
8836,S27-20-1,bestået,E20,20
8836,27455,bestået,F20,5
8835,27303,bestået,E19,5
8835,27432,bestået,E19,5
8835,23259,bestået,F20,5
8835,27246,bestået,E19,5
8835,27460,bestået,E19,5
8835,27247,bestået,E19,5
8835,28345,bestået,F20,5
8835,27641,bestået,E19,5
8835,2411,forsøg,F20,5
8835,2411,bestået,F20,5
8834,27422,bestået,F20,5
8834,27230,bestået,E19,5
8834,27419,bestået,F20,5
8834,22110,bestået,E19,10
8834,27405,bestået,E19,10
8834,28480,bestået,E19,10
8834,S27-15-1,bestået,F20,15
8834,27455,bestået,F20,5
8833,27430,bestået,E19,5
8833,28855,bestået,F20,5
8833,23532,bestået,F20,5
8833,27303,bestået,E18,5
8833,27220,bestået,F19,5
8833,36636,bestået,E18,10
8833,22508,bestået,F20,5
8833,27322,bestået,F19,10
8833,S27-10-1,bestået,E19,10
8833,27419,forsøg,F19,5
8833,27419,bestået,F20,5
8833,36615,ikke bestået,F18,5
8833,28480,bestået,E19,10
8833,27423,ikke bestået,E19,5
8833,27455,ikke bestået,F20,5
8832,27430,bestået,E19,5
8832,28855,bestået,F20,5
8832,27432,bestået,E19,5
8832,27460,bestået,E19,5
8832,27322,bestået,F20,10
8832,27230,bestået,E19,5
8832,22140,bestået,E19,5
8832,27250,bestået,E19,5
8832,S27-05-1,bestået,F20,5
8831,27430,bestået,E19,5
8831,22111,bestået,F20,5
8831,28855,bestået,F20,5
8831,28872,bestået,E19,5
8831,27303,bestået,E19,5
8831,27230,bestået,E19,5
8831,2411,bestået,F20,5
8831,27455,bestået,F20,5
8830,28855,ikke bestået,F20,5
8830,27303,bestået,E19,5
8830,27322,bestået,F20,10
8830,28345,bestået,F20,5
8830,27250,bestået,E19,5
8830,28480,bestået,E19,10
8830,23205,ikke bestået,E19,5
8830,23205,forsøg,E19,5
8830,27423,bestået,E19,5
8830,27455,ikke bestået,F20,5
8829,27430,bestået,E19,5
8829,23532,bestået,F20,5
8829,27432,bestået,E19,5
8829,27460,bestået,E19,5
8829,27422,bestået,F20,5
8829,27028,bestået,E19,10
8829,S27-10-1,ikke bestået,F20,10
8829,27230,bestået,E19,5
8829,27419,bestået,F20,5
8829,27255,bestået,F20,5
8829,S27-10-2,ikke bestået,E20,10
8829,S27-05-1,bestået,F20,5
8828,27460,bestået,E19,5
8828,23258,bestået,F19,5
8828,27322,bestået,F19,10
8828,27422,bestået,F20,5
8828,22112,bestået,F20,5
8828,22126,bestået,E19,5
8828,S27-10-1,bestået,F19,10
8828,27230,bestået,E19,5
8828,27255,bestået,F20,5
8828,22110,bestået,E19,10
8828,22117,bestået,F20,5
8826,27430,bestået,E19,5
8826,28855,bestået,F20,5
8826,28345,bestået,F20,5
8826,27230,bestået,E19,5
8826,27419,bestået,F19,5
8826,2411,bestået,F20,5
8826,28480,bestået,E19,10
8826,2443,bestået,F20,5
8826,27455,bestået,F20,5
8825,27430,bestået,E19,5
8825,27322,bestået,F20,10
8825,27422,bestået,F20,5
8825,27230,bestået,E19,5
8825,28233,bestået,E19,5
8825,27255,bestået,F20,5
8825,28480,bestået,E19,10
8825,27423,bestået,E19,5
8824,27430,bestået,E19,5
8824,28855,bestået,F20,5
8824,23532,bestået,F20,5
8824,27322,bestået,F20,10
8824,28345,bestået,F20,5
8824,27641,bestået,E19,5
8824,28233,bestået,E19,5
8824,28480,bestået,E19,10
8824,27423,bestået,E19,5
8824,27455,bestået,F20,5
8823,27430,ikke bestået,E19,5
8823,28855,forsøg,F20,5
8823,28855,bestået,F20,5
8823,28855,forsøg,F20,5
8823,27102,bestået,F20,5
8823,27322,bestået,F20,10
8823,27419,bestået,F20,5
8823,28480,bestået,E19,10
8823,27423,bestået,E19,5
8823,27455,bestået,F20,5
8822,28855,bestået,F18,5
8822,27220,bestået,F20,5
8822,27460,bestået,E19,5
8822,27422,bestået,F20,5
8822,27230,bestået,E19,5
8822,27419,bestået,F20,5
8822,28233,bestået,E19,5
8822,27405,bestået,E17,10
8822,28480,bestået,E19,10
8822,22117,bestået,F20,5
8821,27430,bestået,E19,5
8821,28855,bestået,F20,5
8821,27432,bestået,E19,5
8821,27322,bestået,F19,10
8821,27230,forsøg,E19,5
8821,27230,bestået,F20,5
8821,27641,bestået,E19,5
8821,27419,bestået,F20,5
8821,27324,bestået,F19,5
8821,27423,bestået,E19,5
8821,27455,forsøg,F20,5
8821,27455,bestået,F20,5
8820,28855,bestået,F20,5
8820,27102,bestået,F20,5
8820,27246,bestået,E19,5
8820,27322,bestået,F20,10
8820,27230,bestået,E19,5
8820,27419,bestået,F20,5
8820,28233,bestået,E19,5
8820,28480,bestået,E19,10
8820,23205,bestået,E19,5
8820,S27-05-1,bestået,E19,5
8820,27455,bestået,F20,5
8819,S22-10-1,bestået,E19,10
8819,27220,bestået,F20,5
8819,27422,bestået,F20,5
8819,S27-05-2,bestået,E19,5
8819,27230,bestået,E19,5
8819,2411,bestået,F20,5
8819,28480,bestået,E19,10
8819,S27-10-2,bestået,F20,10
8818,27430,bestået,E19,5
8818,28855,bestået,F20,5
8818,27102,bestået,F20,5
8818,27220,bestået,F20,5
8818,27322,bestået,F20,10
8818,27641,bestået,E19,5
8818,27419,bestået,F20,5
8818,28480,bestået,E19,10
8818,23205,bestået,E19,5
8818,27423,bestået,E19,5
8815,27430,bestået,E19,5
8815,28855,bestået,F20,5
8815,28345,bestået,F20,5
8815,27641,bestået,E19,5
8815,28233,bestået,E19,5
8815,27255,bestået,F20,5
8815,27405,bestået,E19,10
8815,28480,bestået,E19,10
8815,27455,bestået,F20,5
8814,27430,bestået,E19,5
8814,23281,bestået,E19,5
8814,27102,bestået,F20,5
