student_id;course
8845;S23-10-1
8845;28855
8845;27102
8845;23532
8845;27432
8845;27034
8845;27034
8845;23102
8845;27322
8845;28233
8845;23206
8845;27455
8844;27430
8844;28855
8844;27303
8844;27101
8844;27246
8844;27460
8844;33902
8844;27322
8844;27322
8844;27230
8844;27230
8844;S27-15-1
8844;27324
8844;22117
8844;26325
8843;27421
8843;28855
8843;27220
8843;27460
8843;27322
8843;S27-10-1
8843;27230
8843;27419
8843;27405
8843;28480
8843;33281
8843;33281
8843;27324
8843;36617
8842;27430
8842;28855
8842;27303
8842;42433
8842;42490
8842;27322
8842;28345
8842;42430
8842;27250
8842;2443
8842;28850
8841;33334
8841;27430
8841;22115
8841;22115
8841;22230
8841;22230
8841;28855
8841;27220
8841;27220
8841;36107
8841;22200
8841;23259
8841;23259
8841;23259
8841;27322
8841;33690
8841;27419
8841;23220
8841;2411
8841;23206
8841;23206
8841;23205
8840;27430
8840;27432
8840;27230
8839;27430
8839;28855
8839;27432
8839;S27-05-2
8839;27230
8839;27419
8839;27255
8839;27405
8839;2411
8839;42429
8839;27455
8838;28855
8838;27220
8838;27034
8838;27460
8838;27422
8838;27419
8838;28233
8838;27405
8838;28480
8838;42429
8838;22117
8837;27430
8837;28855
8837;27322
8837;27230
8837;27255
8837;27405
8837;28480
8837;27455
8836;27430
8836;28855
8836;27432
8836;28345
8836;27230
8836;27255
8836;27405
8836;S27-20-1
8836;27455
8835;27303
8835;27432
8835;23259
8835;27246
8835;27460
8835;27247
8835;28345
8835;27641
8835;2411
8835;2411
8834;27422
8834;27230
8834;27419
8834;22110
8834;27405
8834;28480
8834;S27-15-1
8834;27455
8833;27430
8833;28855
8833;23532
8833;27303
8833;27220
8833;36636
8833;22508
8833;27322
8833;S27-10-1
8833;27419
8833;27419
8833;36615
8833;28480
8833;27423
8833;27455
8832;27430
8832;28855
8832;27432
8832;27460
8832;27322
8832;27230
8832;22140
8832;27250
8832;S27-05-1
8831;27430
8831;22111
8831;28855
8831;28872
8831;27303
8831;27230
8831;2411
8831;27455
8830;28855
8830;27303
8830;27322
8830;28345
8830;27250
8830;28480
8830;23205
8830;23205
8830;27423
8830;27455
8829;27430
8829;23532
8829;27432
8829;27460
8829;27422
8829;27028
8829;S27-10-1
8829;27230
8829;27419
8829;27255
8829;S27-10-2
8829;S27-05-1
8828;27460
8828;23258
8828;27322
8828;27422
8828;22112
8828;22126
8828;S27-10-1
8828;27230
8828;27255
8828;22110
8828;22117
8826;27430
8826;28855
8826;28345
8826;27230
8826;27419
8826;2411
8826;28480
8826;2443
8826;27455
8825;27430
8825;27322
8825;27422
8825;27230
8825;28233
8825;27255
8825;28480
8825;27423
8824;27430
8824;28855
8824;23532
8824;27322
8824;28345
8824;27641
8824;28233
8824;28480
8824;27423
8824;27455
8823;27430
8823;28855
8823;28855
8823;28855
8823;27102
8823;27322
8823;27419
8823;28480
8823;27423
8823;27455
8822;28855
8822;27220
8822;27460
8822;27422
8822;27230
8822;27419
8822;28233
8822;27405
8822;28480
8822;22117
8821;27430
8821;28855
8821;27432
8821;27322
8821;27230
8821;27230
8821;27641
8821;27419
8821;27324
8821;27423
8821;27455
8821;27455
8820;28855
8820;27102
8820;27246
8820;27322
8820;27230
8820;27419
8820;28233
8820;28480
8820;23205
8820;S27-05-1
8820;27455
8819;S22-10-1
8819;27220
8819;27422
8819;S27-05-2
8819;27230
8819;2411
8819;28480
8819;S27-10-2
8818;27430
8818;28855
8818;27102
8818;27220
8818;27322
8818;27641
8818;27419
8818;28480
8818;23205
8818;27423
8815;27430
8815;28855
8815;28345
8815;27641
8815;28233
8815;27255
8815;27405
8815;28480
8815;27455
8814;27430
8814;23281
8814;27102
8814;27220
8814;27322
8814;27641
8814;28480
8814;23205
8813;28855
8813;23532
8813;27460
8813;28345
8813;27230
8813;28233
8813;27255
8813;28480
8813;27423
8813;27455
8812;27430
8812;28855
8812;28345
8812;27230
8812;28233
8812;28233
8812;28480
8812;27455
8811;27460
8811;27322
8811;27422
8811;28345
8811;27230
8811;27419
8811;28480
8811;27423
8811;27455
8810;S23-10-1
8810;27626
8810;36683
8810;22145
8810;23258
8810;27322
8810;27422
8810;27422
8810;27230
8810;27641
8810;27419
8810;27419
8810;27419
8810;27419
8810;27419
8810;24102
8810;27250
8810;27250
8807;27422
8807;28345
8807;2411
8807;22117
8807;27455
8805;28855
8805;28345
8805;2411
8805;28480
8805;2443
8804;27430
8804;28855
8804;27322
8804;27230
8804;27405
8804;S28-05-1
8804;27455
8803;27430
8803;22230
8803;27220
8803;27322
8803;27230
8803;27250
8803;28480
8802;27430
8802;22230
8802;27460
8802;27422
8802;27419
8802;27405
8802;28480
8802;42429
8802;S27-20-1
8802;27455
8801;27220
8801;27432
8801;27460
8801;27322
8801;27230
8801;27250
8801;23205
8799;22230
8799;28855
8799;27102
8799;27220
8799;27460
8799;27322
8799;27230
8799;27641
8799;27250
8799;28480
8799;23205
8798;22230
8798;27303
8798;27034
8798;27322
8798;27230
8798;27250
8798;28480
8798;27423
8797;27220
8797;27432
8797;27460
8797;27322
8797;27230
8797;27250
8797;23205
8797;S27-05-1
8796;27422
8796;27220
8796;27432
8796;27460
8796;27322
8796;27422
8796;27230
8796;27250
8796;23205
8795;27430
8795;28855
8795;27102
8795;27246
8795;27246
8795;28233
8795;26436
8795;23205
8795;22117
